session_id,timestamp,machine_id,operator_id,task_type,operator_skill,operator_experience_yrs,machine_age_yrs,engine_hours,weather,ground_condition,temperature_c,fuel_used_l,load_cycles,avg_payload_kg,idle_time_min,operating_time_min,seatbelt_status,proximity_min_m,people_in_zone,estimated_time_min,actual_time_min,safety_risk_score,safety_alert_triggered,anomaly_flag,anomaly_type
S000001,2026-06-25T18:19:23,WL004,OP1039,Material Loading,Intermediate,3,2,1563.6,Sunny,Firm,31.7,9.15,68,3214.6,18.78,35.29,Fastened,4.88,1,30.0,35.29,71.7,True,False,
S000002,2026-06-25T18:22:40,WL003,OP1010,Material Loading,Intermediate,6,5,4055.7,Rainy,Firm,26.2,11.83,61,3446.3,26.81,36.36,Fastened,2.15,1,30.0,36.36,84.4,True,False,
S000003,2026-06-25T18:25:08,DZ002,OP1017,Grading,Beginner,0,6,5181.2,Windy,Wet,28.6,11.48,49,2918.8,25.87,59.33,Fastened,22.51,0,35.0,59.33,8.5,False,False,
S000004,2026-06-25T18:28:45,MG001,OP1035,Grading,Expert,10,5,4011.4,Rainy,Wet,26.4,11.51,25,504.9,17.69,49.99,Fastened,23.61,0,35.0,49.99,22.3,False,False,
S000005,2026-06-25T18:28:53,WL004,OP1027,Material Loading,Intermediate,4,2,1563.6,Windy,Rocky,30.4,9.05,54,3508.9,11.87,35.61,Fastened,27.22,0,30.0,35.61,10.0,False,False,
S000006,2026-06-25T18:45:54,MG002,OP1031,Grading,Beginner,1,5,3986.9,Sunny,Rocky,38.4,12.91,40,799.7,26.44,60.58,Fastened,8.29,0,35.0,60.58,9.4,False,False,
S000007,2026-06-25T18:59:03,EXC010,OP1030,Trenching,Intermediate,5,5,3604.5,Cloudy,Loose,35.4,17.05,110,1393.4,41.31,54.67,Fastened,43.96,0,45.0,54.67,13.0,False,False,
S000008,2026-06-25T19:01:02,MG001,OP1012,Grading,Intermediate,3,5,4011.4,Rainy,Wet,25.4,13.51,35,700.1,24.5,53.7,Fastened,10.77,0,35.0,53.7,23.1,False,False,
S000009,2026-06-25T19:08:47,EXC009,OP1025,Demolition,Intermediate,2,3,2243.1,Rainy,Rocky,28.4,44.76,259,1531.0,68.98,126.68,Unfastened,4.9,1,90.0,126.68,100.0,True,False,
S000010,2026-06-25T19:22:16,WL002,OP1038,Material Loading,Intermediate,6,1,783.8,Rainy,Loose,29.8,8.75,58,3422.0,18.64,35.14,Fastened,48.78,0,30.0,35.14,22.0,False,False,
S000011,2026-06-25T19:33:45,EXC003,OP1050,Earth Excavation,Beginner,0,6,4636.1,Cloudy,Firm,33.5,27.31,247,1313.2,40.55,79.27,Fastened,39.46,0,60.0,79.27,8.4,False,False,
S000012,2026-06-25T19:50:27,EXC010,OP1008,Earth Excavation,Expert,13,5,3604.5,Windy,Rocky,25.2,26.48,218,1402.5,49.96,71.8,Fastened,29.41,0,60.0,71.8,10.8,False,False,
S000013,2026-06-25T20:01:54,EXC002,OP1050,Demolition,Beginner,0,8,5866.0,Sunny,Loose,37.5,59.44,341,1521.4,126.51,144.94,Fastened,12.22,0,90.0,144.94,11.6,False,False,
